Category,Bedrooms,Bathrooms,SUVs,Cars,Garages,Domestic Help Rooms,Age of House,House Area,Price
Premium,2.0,1.0,1.0,1.0,2.0,,15.0,1260.0,16072000.0
Luxury,4.0,3.0,2.0,1.0,3.0,3.0,,2400.0,32674000.0
Luxury,3.0,2.0,,1.0,3.0,1.0,0.0,2060.0,29660000.0
Ultra Luxury,6.0,5.0,3.0,2.0,5.0,2.0,2.0,3880.0,71862000.0
Economy,1.0,1.0,0.0,,1.0,1.0,-1.0,310.0,3485000.0
Economy,1.0,,0.0,1.0,1.0,1.0,2.0,330.0,3326000.0
Luxury,3.0,,2.0,1.0,3.0,2.0,-2.0,1880.0,18459000.0
Premium,2.0,,1.0,1.0,2.0,2.0,5.0,1230.0,12957000.0
Premium,3.0,2.0,,1.0,2.0,1.0,10.0,,21836000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,2.0,360.0,3151000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,12.0,1200.0,16713000.0
Economy,1.0,,0.0,1.0,1.0,1.0,-2.0,360.0,4359000.0
Economy,1.0,2.0,0.0,1.0,1.0,1.0,8.0,330.0,3605000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,5.0,1500.0,20637000.0
Premium,3.0,3.0,1.0,1.0,2.0,2.0,15.0,,29162000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,,1550.0,23204000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,5.0,1090.0,21680000.0
Ultra Luxury,6.0,5.0,3.0,1.0,4.0,3.0,10.0,4230.0,84320000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,12.0,380.0,3572000.0
Economy,1.0,1.0,,,1.0,1.0,-2.0,320.0,3259000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,8.0,340.0,4352000.0
,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,340.0,4007000.0
Ultra Luxury,4.0,4.0,1.0,3.0,4.0,3.0,8.0,3020.0,47435000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,15.0,350.0,3546000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1320.0,15088000.0
